Elegido;356;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;;;;;;;;
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GA/GR;GR/GA-;GR/GA+;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;PORCENTAJE DE GRASA;TIPO DE GRASA;TORQUE DE SELLOS +;TORQUE DE SELLOS -;Fecha Rev. Plano;Rev.;Tipo de prisionero;;;;;;;;
63;B&P-047-ECL-210-50DG - ZJXY;22;0;-120;90;0;-15;49.2;0;-120;50;20;0;C0;6;23;64;58;64;58;10,9 - 13,1;Polyrex;0,796Nm;0,531Nm;2020-11-30 00:00:00;B;-;;;;;;;;
64;ECL210-50MM-DBL;24;0;-120;90;0;-15;49.15;0;-120;50;21;0;C0;6;23;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
65;ECL211-35DG;25;0;-120;100;0;-15;55.5;0;150;55.56;24;0;C0;8;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
66;ECL211-55-DG;25;0;-120;100;0;-15;55.5;0;-150;55;24;0;C0;8;28;64;58;64;58;16 - 19,2;Polyrex;100cNm/1Nm;6,7cNm/0,67Nm;2017-01-18 00:00:00;A;-;;;;;;;;
67;ECL212-39-DBL;27;0;-150;110;0;-15;62;0;-150;61.91;24;0;C0;8;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
68;B&P-047-ECL-212-60DG - CMI;27;0;-150;110;0;-15;61.8;0;-150;60;24;0;C0;8;28;64;58;64;58;50-60%;Polyrex;122cNm/1,22Nm;8,1cNm/0,81Nm;2016-12-20 00:00:00;0;-;;;;;;;;
69;B&P-047-ECL306-30DG-CMI;23;0;-120;72;0;-13;36.5;0;-120;30;21;0;C0;5;20;64;58;64;58;60-80%;Polyrex;standard;standard;2024-05-23 00:00:00;A;azul;;;;;;;;
70;ECL307-35MM-DBL;26;0;-120;80;0;-13;38.1;0;-120;35;21;0;C3;15;33;64;58;64;58;;;…………….;…………….;………………;……….;-;;;;;;;;
71;ECL310-50;29;0;-120;110;0;-15;49.2;0;-120;50;21;0;C3;36;18;64;58;64;58;29 - 38,7 ;Shell Alvania RL3;…………….;…………….;………………;……….;-;;;;;;;;
72;ECL311-32-RRB3;31;0;-120;120;0;-18;55.5;0;-150;50.8;24;0;C3;;;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
73;B&P-047-SAB-212-60DG - CMI;27;0;-150;110;0;-15;65.1;0;-150;60;24;0;C0;8;28;64;58;64;58;50-60%;Polyrex;122cNm/1,22Nm;8,1cNm/0,81Nm;2016-12-20 00:00:00;0;-;;;;;;;;
74;B&P-001-OR207-17 - ZJXY;17;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0;-;;;;;;;;
75;B&P-001-OR207 - ZJXY;19;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-08-09 00:00:00;0;-;;;;;;;;
76;B&P-001-OR206-16 - ZJXY;16;0;-120;62;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-27 00:00:00;0;-;;;;;;;;
77;B&P-001-OR205-R - ZJXY;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-04-26 00:00:00;0;-;;;;;;;;
78;B&P-047-SAB-207-35DG - ZJXY;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C0;6;20;64;58;64;58;6 - 7.3 gr;Polyrex;0.448 Nm;0.3 Nm;2017-09-15 00:00:00;A;-;;;;;;;;
79;B&P-047-ECL209-28DG - ZJXY;22;0;-120;85;0;-15;42.8;0;-120;44.45;21;0;C0;6;23;64;58;64;58;10.15 - 12.2 gr;Polyrex;0.676 Nm;0.451 Nm;2017-09-18 00:00:00;A;-;;;;;;;;
80;BPB-047-ACL206-30RG - ZJXY;18;0;-120;62;0;-13;23.82;0;-120;30;18;0;C0;6;20;64;58;64;58;4.6 - 5.5 gr;Polyrex;0.091;0.056;2020-11-30 00:00:00;B;-;;;;;;;;
81;B&P-047-ASL206-30RR - ZJXY;18;0;-120;62;0;-13;30;0;-120;30;18;0;C0;6;20;64;58;64;58;4.85 - 6.47 gr;Polyrex;0.091;0.056;2017-09-15 00:00:00;A;-;;;;;;;;
82;B&P-047-ECL208-24DG - ZJXY;22;0;-120;80;0;-13;42.8;0;-120;38.1;21;0;C0;6;20;64;58;64;58;9.75 - 11.7 gr;Polyrex;0.567;0.378;2017-09-15 00:00:00;A;-;;;;;;;;
83;B&P-047-ECL-206-30DG - ZJXY;18;0;-120;62;0;-13;36.4;0;-120;30;18;0;C0;5;20;64;58;64;58;4.6 - 5.5 gr;Polyrex;0.33;0.22;2017-09-18 00:00:00;A;-;;;;;;;;
84;B&P-047-SAB-206-30DG - ZJXY;18;0;-120;62;0;-13;38.1;0;-120;30;18;0;C0;5;20;64;58;64;58;4.6 - 5.5 gr;Polyrex;0.33;0.22;2017-09-15 00:00:00;A;-;;;;;;;;
85;B&P-047-SAB208-24DG - ZJXY;22;0;-120;80;0;-13;49.2;0;-120;38.1;21;0;C0;6;20;64;58;64;58;9.75 - 11.7 gr;Polyrex;0.567;0.378;2017-09-15 00:00:00;A;-;;;;;;;;
86;BPB-047-ACL205-16RG - ZJXY;15;0;-120;52;0;-13;21.5;0;-120;25.4;18;0;C3;13;28;64;58;64;58;3.4 - 4.5gr;Polyrex;0.091;0.056;2021-01-28 00:00:00;B;-;;;;;;;;
87;B&P-047-ACLR208-24RR - ZJXY;22;0;-120;80;0;-13;30.18;0;-120;38.1;21;0;C0;6;20;64;58;64;58;9.75 - 11.7 gr;Polyrex;0.176;0.127;2017-09-19 00:00:00;0;-;;;;;;;;
88;B&P-001-OR209-G19 - ZJXY;19;0;-120;85;0;-15;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-06-13 00:00:00;0;-;;;;;;;;
89;BPB-047-SAB208-40LG - SCB;22;0;-120;80;0;-13;49.2;0;-120;40;25;0;C0;6;20;64;58;64;58;50 - 60 %;Polyrex;ESTANDAR;ESTANDAR;2017-12-26 00:00:00;0;-;;;;;;;;
90;BPB-047-SAB207-35LG - SCB;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C0;6;20;64;58;64;58;50 - 60 %;Polyrex;ESTANDAR;ESTANDAR;2017-12-26 00:00:00;0;-;;;;;;;;
91;BPB-047-SAB206-30LG - SCB;18;0;-120;62;0;-11;38.1;0;-120;30;21;0;C0;5;20;64;58;64;58;50 - 60 %;Polyrex;ESTANDAR;ESTANDAR;2017-12-26 00:00:00;0;-;;;;;;;;
92;BPB-047-SAB205-25LG - SCB;15;0;-120;52;0;-11;34;0;-120;25;21;0;C0;5;20;64;58;64;58;50 - 60 %;Polyrex;ESTANDAR;ESTANDAR;2017-12-26 00:00:00;0;-;;;;;;;;
93;BPB-047-SAB209-45LG - SCB;22;0;-120;85;0;-15;49.2;0;-120;45;25;0;C0;6;23;64;58;64;58;50 - 60 %;Polyrex;ESTANDAR;ESTANDAR;2017-12-26 00:00:00;0;-;;;;;;;;
94;B&P-001-OR205 - ZJXY;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2011-05-11 00:00:00;0;-;;;;;;;;
95;OR205-01;15;0;-120;52;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2011-05-11 00:00:00;0;-;;;;;;;;
96;OR205-A1;15.15;120;0;52.15;150;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;………………;……….;-;;;;;;;;
97;OR206-18;18;0;-120;62;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2016-10-06 00:00:00;0;-;;;;;;;;
98;OR207-A1;19.15;120;0;72.15;150;0;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2011-05-06 00:00:00;0;-;;;;;;;;
99;ORAE30-2RST-C3;18;0;-120;62;0;-13;18;0;-120;30;0;-10;C3;13;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
100;ORAE-35-2RST;19;0;-120;72;0;-13;19;0;-120;35;0;-12;C3;15;33;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
101;SAB204-20-01;15;0;-120;47;0;-11;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;………………;……….;-;;;;;;;;
102;SAB204-20-02;NO;NO;NO;NO;NO;NO;31;0;-120;20;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
103;SAB204-20DG;15;0;-120;47;0;-11;31;0;-120;20;20;0;C0/Radial;5;20;64;58;64;58;50 - 60 %;Polyrex;16cNm / 0,16Nm;11cNm / 0,11Nm;2011-03-02 00:00:00;0;-;;;;;;;;
104;BPB-047-SAB205-16DG  - ZJXY;15;0;-120;52;0;-13;34;0;-120;25.4;18;0;C0;5;20;64;58;64;58;2.85 - 3.4 gr;Polyrex;0.23;0.157;2017-09-15 00:00:00;A;-;;;;;;;;
105;SAB205-25-A2;NO;NO;NO;NO;NO;NO;34.15;120;20;24.8;0;-15;NO;NO;NO;NO;64;58;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
106;B&P-999-SAB205-25DG;15;0;-120;52;0;-13;34;0;-120;25;18;0;C0;5;20;64;58;64;58;2,85 - 3,4;Polyrex;0.23;0.157;2023-09-07 00:00:00;D;-;;;;;;;;
107;B&P-047-SAB-205-25DG - ZJXY;15;0;-120;52;0;-13;34;0;-120;25;18;0;C0;5;20;64;58;64;58;2,85 - 3,4;Polyrex;0.23;0.157;2017-09-15 00:00:00;A;-;;;;;;;;
108;SAB205-25MM;15;0;-120;52;0;-13;34.1;0;-120;25;20;0;C3;13;28;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
109;SAB206-20;18;0;-120;62;0;-13;38.1;0;-120;31.75;18;0;Radial;6;20;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;………………;……….;-;;;;;;;;
110;SAB206-20-02;NO;NO;NO;NO;NO;NO;38.1;0;-120;31.75;18;0;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;………………;……….;-;;;;;;;;
111;SAB206-30DG;18;0;-120;62;0;-13;38.1;0;-120;30;18;0;C0;5;20;64;58;64;58;4,6 - 5,5;Polyrex;33cNm / 0,33Nm;22cNm / 0,22Nm;2017-09-18 00:00:00;A;-;;;;;;;;
112;SAB206-30RG;19;0;-120;62;0;-15;38.1;0;-50;30;20;0;C3;13;28;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
113;SAB207-20DG;20;0;-120;72;0;-13;42.9;0;-120;31.35;18;0;C3;15;33;;;;;;;…………….;…………….;………………;……….;-;;;;;;;;
114;SAB207-35-A2;NO;NO;NO;NO;NO;NO;43.1;120;-20;34.85;0;-160;NO;NO;NO;64;58;NO;NO;NO;NO;NO;NO;2011-04-28 00:00:00;0;-;;;;;;;;
115;SAB207-35D1;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;13;28;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
116;SAB207-35DG;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C3;6;20;58;64;58;64;6 - 7,3;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
117;SAB207-35DG;19;0;-120;72;0;-13;42.9;0;-120;35;21;0;C0;6;20;58;64;58;64;6 - 7,3 ;Polyrex;0.3;0.448;2017-09-15 00:00:00;A;-;;;;;;;;
118;SAB207-35MM;20;0;-120;72;0;0;42.9;0;-120;35;20;0;C3;15;33;58;62;58;62;50% - 60%;Polyrex;…………….;…………….;………………;……….;-;;;;;;;;
119;B&P-047-SAB-208-40DG - ZJXY;22;0;-120;80;0;-13;49.2;0;-120;40;21;0;C0;6;20;64;58;64;58;9,75 - 11,7;Polyrex;0,567 Nm;0,378 Nm;2020-11-30 00:00:00;B;-;;;;;;;;
120;SAB208-40MM-DBL;22;0;-120;80;0;-13;49.2;0;-120;40;21;0;C3;15;33;;;;;;;0.567;0.378;………………;……….;-;;;;;;;;
121;BPB-047-SAB209-45DG - ZJXY;22;0;-120;85;0;-15;49.2;0;-120;45;21;0;C0;6;23;64;58;64;58;10,15 - 12,2;Polyrex;0,676Nm;0,451Nm;2017-09-15 00:00:00;A;-;;;;;;;;
122;SAB210-50DG;22;0;-120;90;0;-15;51.6;0;-120;50;20;0;C0;6;23;64;58;64;58;10,9 - 13,1;Polyrex;79,6cNm / 0,796Nm;53,1cNm / 0,531Nm;2011-09-09 00:00:00;0;-;;;;;;;;
123;SAB210-50MM;24;0;-120;90;0;-15;51.6;0;-120;50;20;0;C3;18;36;NO;NO;NO;NO;;;…………….;…………….;………………;……….;-;;;;;;;;
124;SAB211-55DG;25;0;-150;100;0;-15;55.6;0;-150;55;24;0;C0;8;28;64;58;64;58;16 - 19,2;Polyrex;1Nm;0672Nm;2011-09-09 00:00:00;0;-;;;;;;;;
125;SAB216-80DG;33;0;-150;140;0;-18;82.6;0;-150;80;24;0;C3;25;51;64;58;64;58;25-35%;Alvania;ESTANDAR;ESTANDAR;2009-02-12 00:00:00;0;-;;;;;;;;
