Elegido;264;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30
Numero;Codigo;C;C+;C-;D;D+;D-;B;B+;B-;d;d+;d-;GR;GR+;GR-;A;A+;A-;ARO INT+;ARO INT -;ARO EXT +;ARO EXT -;TORQUE DE SELLOS +;TORQUE DE SELLOS -;PORCENTAJE DE GRASA;TIPO DE GRASA;Fecha Rev. Plano;Rev.
54;B&P-048-5203-KYY2 - CMI;39.12;0;-380;40;0;-11;44.12;0;-380;16.256;0;-127;Radial;20;5;NO;NO;NO;64;60;64;60;12,7cNm / 0,127Nm;10,2cNm / 0,102Nm;6 - 6,95;Polyrex;2022-01-10 00:00:00;A
55;5203KYY2-01;39.12;0;-380;40;0;-11;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;……………………….;……………………….;NO;NO;2014-02-18 00:00:00;0
56;5203KYY2-02;NO;NO;NO;NO;NO;NO;44.12;0;-380;16.256;0;-127;NO;NO;NO;NO;NO;NO;64;58;NO;NO;……………………….;……………………….;NO;NO;2014-02-05 00:00:00;0
57;5203-KYY5;39.12;0;-380;40;0;-11;44.12;0;-380;16.256;0;-127;RADIAL;20;5;NO;NO;NO;64;58;64;58;12,7cNm / 0,127Nm;10,2cNm / 0,102Nm;6,47 - 7,4;Polyrex;2015-03-30 00:00:00;A
58;5203KYY7;17.463;0;-120;40;0;-11;24.463;0;-120;17;0;-8;C3;13;31;NO;NO;NO;64;58;64;58;……………………….;……………………….;60%-80%;Polyrex;……………….;……….
59;5203KYY9;17.463;0;-120;40;0;-11;24.463;0;-120;16.13;-10;-120;C3;13;31;NO;NO;NO;64;58;64;58;……………………….;……………………….;2,4 - 3,2;Polyrex;……………….;……….
60;BPB-048-5204-KPP3 - CMI;42.6;50;-50;47;0;-15;48;0;-120;20;127;0;AXIAL;20;35;NO;NO;NO;62 HRC;58 HRC;62 HRC;58 HRC;……………………….;……………………….;9,75 -11,25;polyrex;2018-03-15 00:00:00;G
61; BPB-048-5206KYY3-HNHL;37;0;-120;62;0;-11;50;0;-120;30.15;30;0;Axial;37;18;NO;NO;NO;64;58;64;58;25cNm / 0,25Nm;16cNm / 0,16Nm;13-15;Polyrex;2015-01-27 00:00:00;0
62;5207-01;27;0;-120;72;0;-13;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;NO;NO;NO;2014-02-19 00:00:00;0
63;BPB-048-5207-KRRB19 - CMI;27;0;-120;72;0;-13;37.7;0;-120;NO;NO;NO;C3;40;21;31.8;127;0;64;58;64;58;20cNm / 0,20Nm;15cNm / 0,15Nm;6 - 7,5;Polyrex;2022-06-17 00:00:00;E
64;5207KRRB19-02;NO;NO;NO;NO;NO;NO;37.7;0;-120;NO;NO;NO;NO;NO;NO;31.8;127;0;64;58;NO;NO;NO;NO;NO;NO;2014-02-18 00:00:00;0
65;5207-KRRB2;27;0;-120;72;0;-13;37.7;0;-120;;;;C3;21;40;28.6;127;0;;;;;……………………….;……………………….;;;……………….;……….
