Elegido;447;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32
Numero;Codigo;d;d+;d-;B;B+;B-;T;T+;T-;D;D+;D-;C;C+;C-;HRC CUB+;HRC CUB-;HRC CONO+;HRC CONO-;PERFIL CUB;PERFIL CONO;PERFIL ROD.;RUG.PISTA CONO;RUG. RESPALDO CONO;RUG. PISTA CUBETA;Fecha Rev. Plano;Rev.;GA ;GA+;GA-
37;053-TDX218;90;0;-20;40;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2013-10-21 00:00:00;0;;;
38;053-TTX110;50;0;-12;26;0;-240;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;64;58;CONVEX;CONVEX;CONVEX;NO;NO;NO;2016-12-13 00:00:00;A;;;
39;053-X-30207;35;0;-12;17;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2011-07-20 00:00:00;0;;;
40;053-X-30208;40;0;-12;18;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2010-10-20 00:00:00;0;;;
41;053-X-30210;50;0;-12;20;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2008-08-28 00:00:00;0;;;
42;053-X-30212-SCB;60;0;-15;22;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2018-05-23 00:00:00;0;;;
43;053-X32008;40;0;-12;19;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2017-08-09 00:00:00;A;;;
44;B&P-053-X-32013 - ZANG;65;0;-15;23;0;-100;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2011-01-26 00:00:00;0;;;
45;B&P-053-X-32211 - DEFA;55;0;-15;25;0;-120;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2018-09-19 00:00:00;0;;;
46;053-X-32213;65;0;-15;31;0;-150;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;2016-12-13 00:00:00;A;;;
47;053-X-32217;85;0;-20;36;0;-200;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;NO;64;58;NO;CONVEX;CONVEX;NO;NO;NO;………………..;……..;;;
