Empresa;Comp;Numero;Fecha;Producto;Cantidad;Deposito;Ubicacion;Observ;Proveedor;Usuario;OC;CodOC
BPB;IDESP;7071;01/12/2025;000-053-X-30204;2500;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY210;1000;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30211;1000;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY211;1000;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30305;100;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY305;100;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30307;100;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY307;100;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30308;200;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY204;2500;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY308;200;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-30309;200;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TCY309;200;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-32007;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-054-TDY007;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
BPB;IDESP;7071;01/12/2025;000-053-X-32009;250;03;X-00-00-00;Op #2 -  Straight profile for raceway and roller;ESUN GLOBAL CO.,LTD;mconde;1051;OCEUG
