Elegido;1251;3;4;5;6;7;
Numero;Codigo;Juego;Juego+;Juego-;Fecha Rev. Plano; Rev.;Observaciones
187;BPB-033-CL-100-2 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-06-02 00:00:00;0;
188;BPB-033-CL-100-3 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-12-13 00:00:00;0;
189;CL-40-1;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;0;
190;BPB-033-CL-40-2-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2017-07-04 00:00:00;0;
191;CL-410;NO EXIST.;NO EXIST.;NO EXIST.;2017-04-13 00:00:00;0;
192;BPB-033-CL-415-H-CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-07-18 00:00:00;0;
193;BPB-033-CL-50-1 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;0;
194;CL-50-H1;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;0;
195;BPB-033-CL-60-1 - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;0;
196;BPB-033-CL-60-1H - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2016-06-02 00:00:00;0;
197;CL-80-1;NO EXIST.;NO EXIST.;NO EXIST.;2016-05-03 00:00:00;…..;
198;BPB-033-CL-80-1-H - CHOHO;NO EXIST.;NO EXIST.;NO EXIST.;2017-06-08 00:00:00;0;
199;CORONA CENTRAL-01505-101;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
200;CORONA LATERAL-01505-102;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
201;CR-18-UU;NO EXIST.;NO EXIST.;NO EXIST.;……………….;…..;
202;BPB-047-F-209-A - LD;NO EXIST.;NO EXIST.;NO EXIST.;2022-05-04 00:00:00;C;
203;BPB-046-SABP214-70L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
204;BPB-046-SABFL205-25L - GXTY;NO EXIST.;NO EXIST.;NO EXIST.;2018-01-23 00:00:00;Standard GXTY;
