host_id,item,Fecha Partida,produc,descrip_larga,Llave,OC Tipo,OC numero,ubi,obser,canti_real_item,Cant_Despachada,canti_real,Comp,Num,Fecha_ing,Subgrupo,costo_prome_ponde,depO,uni_medi_stock,depo_descrip,,,Observacion
25876,0088IC06000017Y,2020-03-09,B&P-048-205-KRR2,Hexagonal Recto = 7/8x52x15/25.4,B&P-048-205-KRR20088IC06000017Y,,0,V-00-00-00,,844,1008,865,INSI,1052,2026-04-09,Rodamientos Esp.Agricolas,0,101,C/Uno,Control de Calidad,,,
25876,0088IC06000017Y,2020-03-09,B&P-048-205-KRR2,Hexagonal Recto = 7/8x52x15/25.4,B&P-048-205-KRR20088IC06000017Y,,0,X-00-00-00,,20,1008,865,INSI,1052,2026-04-09,Rodamientos Esp.Agricolas,0,101,C/Uno,Control de Calidad,,,
25876,5088IC06000155W,2025-09-23,B&P-059-AG59517-65,Maza completa c/DTR3565-FM,B&P-059-AG59517-655088IC06000155W,,0,V-00-00-00,,1,160,113,INSI,1052,2026-04-09,MAZAS - Term y Ptes.Pzas,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-034-GE-20-ES-2RS,Rotula 20mm 2RS,BPB-034-GE-20-ES-2RS6088IC06000109W,OCOMI,1296,G-23-05-02,,100,100,100,IDESP,7145,2026-04-09,Rotulas,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-034-GE-30-ES-2RS,Rotula 30mm - 2RS,BPB-034-GE-30-ES-2RS6088IC06000109W,OCOMI,1296,G-20-05-01,,100,100,109,IDESP,7145,2026-04-09,Rotulas,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-034-GEZ-012-ES,ROTULA 1/2,BPB-034-GEZ-012-ES6088IC06000109W,OCOMI,1296,G-22-05-01,,100,100,100,IDESP,7145,2026-04-09,Rotulas,0.0259,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-034-GEZ-014-ES-2,ROTULA 7/8,BPB-034-GEZ-014-ES-26088IC06000109W,OCOMI,1296,G-23-05-03,,100,100,105,IDESP,7145,2026-04-09,Rotulas,0.0528,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-042-22205CKW33C3,Rod. de rodillos a rotulas - Eje Conico = 25x52x18,BPB-042-22205CKW33C36088IC06000109W,OCOMI,1307,G-16-03-02,,50,50,62,IDESP,7145,2026-04-09,Rod.Esfericos,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000109W,2026-04-09,BPB-045-PFT-7-ZM,Sop.de chapa Triangular c/3 aguj,BPB-045-PFT-7-ZM6088IC06000109W,OCREP,176,E-17-02-03,,468,518,471,IDESP,7145,2026-04-09,Soporte,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000110Y,2026-04-08,000-054-TCY211,Bearing Parts,000-054-TCY2116088IC06000110Y,OCEUG,1080,F-19-01-03,,1000,1000,1000,IDESP,7142,2026-04-08,CUBETA,0.709,101,C/Uno,Control de Calidad,,,
25876,6088IC06000110Y,2026-04-08,000-054-TDY010,Bearing parts,000-054-TDY0106088IC06000110Y,OCEUG,1080,F-19-01-02,,1000,1000,1000,IDESP,7142,2026-04-08,CUBETA,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000110Y,2026-04-08,000-054-TDY210,Bearing Parts,000-054-TDY2106088IC06000110Y,OCEUG,1080,F-20-05-03,,140,500,506,IDESP,7142,2026-04-08,CUBETA,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000110Y,2026-04-08,000-054-TDY210,Bearing Parts,000-054-TDY2106088IC06000110Y,OCEUG,1080,H-10-03-02,,360,500,506,IDESP,7142,2026-04-08,CUBETA,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000110Y,2026-04-08,000-054-TTY215,Bearing Parts,000-054-TTY2156088IC06000110Y,OCEUG,1080,H-04-04-01,,100,100,100,IDESP,7142,2026-04-08,CUBETA,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-032-BP-25005-03,Oring,B&P-032-BP-25005-036088IC06000107U,OCBET,937,G-24-05-02,,1000,1000,1000,IDESP,7138,2026-04-08,Tensores,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-037-BP-23006,DS-010-B Rubber Belt,B&P-037-BP-230066088IC06000107U,OCBET,945,E-24-05-01,,25,30,45,IDESP,7138,2026-04-08,VARIOS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000112Z,2026-04-08,B&P-037-M04132,Tornillo allen frezada 8x20,B&P-037-M041326088IC06000112Z,OCREP,164,D-27-02-02,,10000,10000,15110,IDESP,7143,2026-04-08,VARIOS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-HD06-2RST,6306 = 30x72x19,B&P-041-HD06-2RST6088IC06000107U,OCREP,159,G-24-01-01,,720,1000,1285,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-HD06-2RST,6306 = 30x72x19,B&P-041-HD06-2RST6088IC06000107U,OCREP,159,G-24-03-01,,280,1000,1285,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-HD08-2RST,6308 = 40x90x23,B&P-041-HD08-2RST6088IC06000107U,OCREP,159,G-23-03-02,,270,500,613,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,4.28,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-HD08-2RST,6308 = 40x90x23,B&P-041-HD08-2RST6088IC06000107U,OCREP,159,G-23-04-02,,230,500,613,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,4.28,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-MS08-2RST,6208 = 40x80x18,B&P-041-MS08-2RST6088IC06000107U,OCREP,159,F-06-01-03,,630,1000,1000,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-MS08-2RST,6208 = 40x80x18,B&P-041-MS08-2RST6088IC06000107U,OCREP,159,F-06-02-02,,360,1000,1000,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-041-MS08-2RST,6208 = 40x80x18,B&P-041-MS08-2RST6088IC06000107U,OCREP,159,V-00-00-00,,10,1000,1000,IDESP,7138,2026-04-08,RODAMIENTO DE BOLAS,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-047-PE-214,Soporte de Pie Reforzado,B&P-047-PE-2146088IC06000107U,OCREP,159,G-23-01-02,,36,76,109,IDESP,7138,2026-04-08,AUTOCENTRANTES,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000107U,2026-04-08,B&P-047-PE-214,Soporte de Pie Reforzado,B&P-047-PE-2146088IC06000107U,OCREP,159,G-23-01-03,,40,76,109,IDESP,7138,2026-04-08,AUTOCENTRANTES,0,101,C/Uno,Control de Calidad,,,
25876,6088IC06000112Z,2026-04-08,B&P-048-5203-KYY5,Esp Agric. = 16.256x40x44.12/39.12,B&P-048-5203-KYY56088IC06000112Z,OCEUG,1076,D-29-01-01,,1304,2500,2966,IDESP,7143,2026-04-08,Rodamientos Esp.Agricolas,0.0512,101,C/Uno,Control de Calidad,,,
